id,name,slug,category_id,category_name,supplier_id,price,current_stock,total_sold
13,TAHU BAKSO,tahu-bakso-31,5,MAKANAN BASAH,6,2500,0,5861
15,PISCOK,piscok-21,5,MAKANAN BASAH,15,3000,0,0
16,TAHU BAKSO BALADO,tahu-bakso-balado-93,5,MAKANAN BASAH,15,2500,0,1073
18,PERMEN NANO-NANO,permen-nano-nano-25,3,SNACKS,15,3000,0,3
19,COKLAT SUPERSTAR,coklat-superstar-94,3,SNACKS,15,2000,0,0
20,ROTI SISIR,roti-sisir-72,3,SNACKS,15,4000,0,0
21,PERMEN HOT POP,permen-hot-pop-83,3,SNACKS,15,1000,0,224
22,MIE KREMEZ,mie-kremez-85,3,SNACKS,15,2000,0,0
23,CHOCO BALLS,choco-balls-79,3,SNACKS,15,6500,0,0
24,PERMEN CUPHA CUPS,permen-cupha-cups-51,3,SNACKS,15,3000,0,109
25,LARIST AIR MINERAL,larist-air-mineral-89,2,MINUMAN,15,4000,0,2937
36,CIMORY YOGURT DRINK,cimory-yogurt-drink-28,2,MINUMAN,9,5000,2,363
37,CIMORY UHT,cimory-uht-14,2,MINUMAN,9,7000,0,409
38,ISOPLUS,isoplus-20,2,MINUMAN,9,5000,0,452
42,CHEESE/BANANA ROLL,cheesebanana-roll-83,5,MAKANAN BASAH,9,1000,5,1062
44,RISOL MAYO & SOSIS,risol-mayo-sosis-59,5,MAKANAN BASAH,13,3000,0,1225
73,NASI KUCING,nasi-kucing-59,5,MAKANAN BASAH,9,3000,0,508
74,SATE USUS,sate-usus-94,5,MAKANAN BASAH,9,2000,0,45
75,MINI PAO,mini-pao-36,5,MAKANAN BASAH,9,1000,0,171
76,TEH GELAS,teh-gelas-41,2,MINUMAN,9,4000,0,388
77,KOPI ABC,kopi-abc-19,2,MINUMAN,9,6000,2,347
79,MOMOTARO,momotaro-17,3,SNACKS,9,2500,5,45
80,MILKU,milku-50,2,MINUMAN,9,3500,0,492
81,SARI KACANG IJO,sari-kacang-ijo-74,2,MINUMAN,9,5000,1,202
83,MONDE SERENA,monde-serena-91,3,SNACKS,9,5000,0,35
87,ULTRA MILK UHT,ultra-milk-uht-23,2,MINUMAN,9,7000,0,437
88,GOOD TIME,good-time-72,3,SNACKS,9,2500,10,80
89,NABATI,nabati-75,3,SNACKS,9,2500,4,75
90,TWISTER,twister-37,3,SNACKS,9,2500,5,45
91,GOLDA KOPI,golda-kopi-87,2,MINUMAN,9,6000,1,387
92,FRUIT TEA,fruit-tea-23,2,MINUMAN,9,4000,0,269
102,DRUM STIK,drum-stik-42,3,SNACKS,15,4000,0,0
103,MILO,milo-68,2,MINUMAN,15,6000,0,58
104,JAMUR BALADO,jamur-balado-75,1,MAKANAN KERING,15,3000,0,0
107,MOMOGI,momogi-26,3,SNACKS,15,2500,0,2
109,ARUM MANIS,arum-manis-24,1,MAKANAN KERING,15,3000,0,0
111,VEGETABLE AND CHEESE,vegetable-and-cheese-19,3,SNACKS,15,3500,0,0
112,ZYLUC STICK,zyluc-stick-98,3,SNACKS,15,3500,0,0
113,ULALA MAKANAN RINGAN,ulala-makanan-ringan-37,3,SNACKS,15,2000,14,9
118,POCARISWEAT,pocarisweat-25,2,MINUMAN,28,7000,0,315
119,FLORIDINA ORANGE,floridina-orange-82,2,MINUMAN,28,3500,0,306
