year,week_of_year,revenue,transactions,qty_sold,active_days,week_start,year_week
2024,35,8146500.0,923,2865,5,2024-08-26,2024-W35
2024,36,6669000.0,824,2300,5,2024-09-02,2024-W36
2024,37,7292000.0,806,2477,5,2024-09-09,2024-W37
2024,38,6234000.0,708,2089,4,2024-09-17,2024-W38
2024,39,8019500.0,818,2694,5,2024-09-23,2024-W39
2024,40,8000.0,1,2,1,2024-09-30,2024-W40
2024,41,2334000.0,270,751,5,2024-10-07,2024-W41
2024,42,6434500.0,824,2185,6,2024-10-14,2024-W42
2024,43,6765500.0,939,2286,5,2024-10-21,2024-W43
2024,44,7326000.0,935,2428,5,2024-10-28,2024-W44
2024,45,8831500.0,1091,2886,5,2024-11-04,2024-W45
2024,46,8719000.0,964,2699,5,2024-11-11,2024-W46
2024,47,10280000.0,1189,3138,5,2024-11-18,2024-W47
2024,48,6555500.0,655,2008,4,2024-11-25,2024-W48
2024,49,4162000.0,418,1386,5,2024-12-02,2024-W49
2024,50,1679500.0,215,548,3,2024-12-09,2024-W50
2025,6,59000.0,4,13,1,2025-02-09,2025-W06
2025,7,5922000.0,687,1820,5,2025-02-10,2025-W07
2025,8,9239500.0,1088,3023,5,2025-02-17,2025-W08
2025,9,9063500.0,1159,2949,5,2025-02-24,2025-W09
2025,10,422500.0,79,140,5,2025-03-03,2025-W10
2025,11,540000.0,90,181,5,2025-03-10,2025-W11
2025,12,396000.0,56,107,5,2025-03-17,2025-W12
2025,15,3140500.0,463,856,4,2025-04-08,2025-W15
2025,16,2354000.0,321,692,4,2025-04-14,2025-W16
2025,17,9003000.0,1101,2789,5,2025-04-21,2025-W17
2025,18,8431500.0,969,2599,4,2025-04-28,2025-W18
2025,19,10004500.0,1183,3048,5,2025-05-05,2025-W19
2025,20,5647500.0,715,1689,3,2025-05-14,2025-W20
2025,21,11322000.0,1270,3561,5,2025-05-19,2025-W21
2025,22,7340500.0,755,2265,3,2025-05-26,2025-W22
2025,23,8310500.0,863,2565,4,2025-06-02,2025-W23
2025,24,6023000.0,551,1874,5,2025-06-10,2025-W24
2025,25,2417000.0,253,752,4,2025-06-16,2025-W25
2025,30,3500.0,1,1,1,2025-07-27,2025-W30
2025,34,6939500.0,954,2069,5,2025-08-18,2025-W34
2025,35,10129000.0,1297,3140,5,2025-08-25,2025-W35
2025,37,11669000.0,1440,3621,5,2025-09-08,2025-W37
2025,38,11987500.0,1517,3674,5,2025-09-15,2025-W38
2025,39,11794494.0,1321,3479,6,2025-09-22,2025-W39
2025,40,13633500.0,1582,4084,5,2025-09-29,2025-W40
2025,41,8277000.0,1027,2283,5,2025-10-06,2025-W41
2025,42,4716500.0,623,1333,5,2025-10-13,2025-W42
2025,43,10260500.0,1124,2994,5,2025-10-20,2025-W43
2025,44,10765500.0,1152,3265,5,2025-10-27,2025-W44
2025,45,9464000.0,1145,2932,5,2025-11-03,2025-W45
2025,46,10824500.0,1152,3195,5,2025-11-10,2025-W46
2025,47,8537000.0,1055,2346,5,2025-11-17,2025-W47
2025,48,9210500.0,1037,2663,5,2025-11-24,2025-W48
2025,49,7655500.0,909,2111,5,2025-12-01,2025-W49
2025,50,5315500.0,633,1543,5,2025-12-08,2025-W50
2025,51,2147000.0,291,599,5,2025-12-15,2025-W51
2026,7,7393500.0,1076,2199,5,2026-02-09,2026-W07
2026,8,1062000.0,172,354,3,2026-02-18,2026-W08
2026,9,448500.0,78,189,5,2026-02-23,2026-W09
2026,10,459500.0,62,119,5,2026-03-02,2026-W10
2026,11,251000.0,47,84,5,2026-03-09,2026-W11
2026,14,6093000.0,894,1974,4,2026-03-30,2026-W14
2026,15,7301000.0,1041,2191,5,2026-04-06,2026-W15
2026,16,4425000.0,626,1302,5,2026-04-13,2026-W16
2026,17,11921000.0,1536,3263,5,2026-04-20,2026-W17
2026,18,11554500.0,1369,3150,4,2026-04-27,2026-W18
2026,19,16235500.0,1871,4503,5,2026-05-04,2026-W19
2026,20,9534000.0,1138,2663,3,2026-05-11,2026-W20
2026,21,13106500.0,1476,3622,5,2026-05-18,2026-W21
2026,22,4371000.0,505,1284,3,2026-05-25,2026-W22
2026,23,11075500.0,1270,3259,4,2026-06-02,2026-W23
2026,24,7765000.0,1071,2252,5,2026-06-08,2026-W24
2026,25,5781000.0,715,1657,5,2026-06-15,2026-W25
