date,revenue,transactions,qty_sold,day_of_week,week_of_year,month,year,is_weekend,is_holiday,is_ramadan
2025-03-20,1346906.1,161.0,419.0,3,12,3,2025,0,0,1
2025-03-21,647868.1,80.0,218.0,4,12,3,2025,0,0,1
2025-03-22,2373438.8,287.0,691.0,5,12,3,2025,1,0,1
2025-03-23,2674919.0,230.0,778.0,6,12,3,2025,1,0,1
2025-03-24,2464367.2,274.0,690.0,0,13,3,2025,0,0,1
2025-03-25,2342627.0,246.0,676.0,1,13,3,2025,0,0,1
2025-03-26,2255535.2,218.0,666.0,2,13,3,2025,0,0,1
2025-03-27,2099680.2,218.0,641.0,3,13,3,2025,0,0,1
2025-03-28,1943481.6,226.0,601.0,4,13,3,2025,0,0,1
2025-03-29,1763737.5,222.0,530.0,5,13,3,2025,1,0,1
2025-03-30,1000928.75,176.0,289.0,6,13,3,2025,1,0,1
2025-03-31,581481.9,91.0,158.0,0,14,3,2025,0,0,1
2025-04-01,2093630.0,323.0,614.0,1,14,4,2025,0,0,0
2025-04-02,2649926.8,270.0,786.0,2,14,4,2025,0,0,0
2025-04-03,877186.5,87.0,268.0,3,14,4,2025,0,0,0
2025-04-04,1726413.1,218.0,600.0,4,14,4,2025,0,0,0
2025-04-05,2075237.1,151.0,679.0,5,14,4,2025,1,0,0
2025-04-06,1759645.0,216.0,586.0,6,14,4,2025,1,0,0
2025-04-07,1703971.4,176.0,544.0,0,15,4,2025,0,0,0
2025-04-08,1443515.0,138.0,466.0,1,15,4,2025,0,0,0
2025-04-09,650856.7,60.0,221.0,2,15,4,2025,0,0,0
2025-04-10,601930.3,50.0,208.0,3,15,4,2025,0,0,0
2025-04-11,2474922.8,316.0,712.0,4,15,4,2025,0,0,0
2025-04-12,2207690.0,208.0,533.0,5,15,4,2025,1,0,0
2026-04-14,1454998.6,172.0,452.0,1,16,4,2026,0,0,0
2026-04-15,1820996.9,213.0,578.0,2,16,4,2026,0,0,0
2026-04-16,1126629.5,157.0,360.0,3,16,4,2026,0,0,0
2026-04-17,1861609.9,204.0,606.0,4,16,4,2026,0,0,0
2026-04-18,1748138.2,222.0,545.0,5,16,4,2026,1,0,0
2026-04-19,1520463.9,215.0,454.0,6,16,4,2026,1,0,0
2026-04-20,1572240.5,195.0,466.0,0,17,4,2026,0,0,0
2026-04-21,1670622.0,181.0,501.0,1,17,4,2026,0,0,0
2026-04-22,1731015.8,196.0,528.0,2,17,4,2026,0,0,0
2026-04-23,1764595.0,207.0,542.0,3,17,4,2026,0,0,0
2026-04-24,1703840.0,215.0,522.0,4,17,4,2026,0,0,0
2026-04-25,1426122.9,172.0,434.0,5,17,4,2026,1,0,0
2026-04-26,635231.75,98.0,205.0,6,17,4,2026,1,0,0
2026-04-27,590678.3,46.0,190.0,0,18,4,2026,0,0,0
2026-04-28,2585993.8,305.0,753.0,1,18,4,2026,0,0,0
