date,revenue,transactions,qty_sold,day_of_week,week_of_year,month,year,is_weekend,is_holiday,is_ramadan
2024-08-26,1701500.0,113,585,0,35,8,2024,0,0,0
2024-08-27,1746500.0,245,611,1,35,8,2024,0,0,0
2024-08-28,1650500.0,179,570,2,35,8,2024,0,0,0
2024-08-29,1814500.0,219,646,3,35,8,2024,0,0,0
2024-08-30,1233500.0,167,453,4,35,8,2024,0,0,0
2024-09-02,1393500.0,176,489,0,36,9,2024,0,0,0
2024-09-03,1595000.0,177,580,1,36,9,2024,0,0,0
2024-09-04,1316500.0,167,438,2,36,9,2024,0,0,0
2024-09-05,1418500.0,184,481,3,36,9,2024,0,0,0
2024-09-06,945500.0,120,312,4,36,9,2024,0,0,0
2024-09-09,1315000.0,163,428,0,37,9,2024,0,0,0
2024-09-10,1708000.0,135,564,1,37,9,2024,0,0,0
2024-09-11,1613500.0,199,569,2,37,9,2024,0,0,0
2024-09-12,1694000.0,185,575,3,37,9,2024,0,0,0
2024-09-13,961500.0,124,341,4,37,9,2024,0,0,0
2024-09-17,1735500.0,180,572,1,38,9,2024,0,0,0
2024-09-18,1942500.0,203,637,2,38,9,2024,0,0,0
2024-09-19,1507000.0,188,529,3,38,9,2024,0,0,0
2024-09-20,1049000.0,137,351,4,38,9,2024,0,0,0
2024-09-23,1543000.0,178,492,0,39,9,2024,0,0,0
2024-09-24,1809500.0,150,609,1,39,9,2024,0,0,0
2024-09-25,1692000.0,205,595,2,39,9,2024,0,0,0
2024-09-26,1662000.0,122,558,3,39,9,2024,0,0,0
2024-09-27,1313000.0,163,440,4,39,9,2024,0,0,0
2024-09-30,8000.0,1,2,0,40,9,2024,0,0,0
2024-10-07,454500.0,53,153,0,41,10,2024,0,0,0
2024-10-08,566500.0,66,181,1,41,10,2024,0,0,0
2024-10-09,614500.0,74,192,2,41,10,2024,0,0,0
2024-10-10,375500.0,46,124,3,41,10,2024,0,0,0
2024-10-11,323000.0,31,101,4,41,10,2024,0,0,0
2024-10-14,1103000.0,80,364,0,42,10,2024,0,0,0
2024-10-15,1234500.0,170,405,1,42,10,2024,0,0,0
2024-10-16,1573500.0,213,533,2,42,10,2024,0,0,0
2024-10-17,1419500.0,203,502,3,42,10,2024,0,0,0
2024-10-18,1048500.0,155,369,4,42,10,2024,0,0,0
2024-10-20,55500.0,3,12,6,42,10,2024,1,0,0
2024-10-21,1076500.0,143,355,0,43,10,2024,0,0,0
2024-10-22,1466000.0,199,509,1,43,10,2024,0,0,0
2024-10-23,1997500.0,282,662,2,43,10,2024,0,0,0
2024-10-24,1261000.0,160,437,3,43,10,2024,0,0,0
2024-10-25,964500.0,155,323,4,43,10,2024,0,0,0
2024-10-28,1231500.0,160,411,0,44,10,2024,0,0,0
2024-10-29,2049500.0,227,677,1,44,10,2024,0,0,0
2024-10-30,1672000.0,239,560,2,44,10,2024,0,0,0
2024-10-31,1268500.0,164,418,3,44,10,2024,0,0,0
2024-11-01,1104500.0,145,362,4,44,11,2024,0,0,0
2024-11-04,1614000.0,203,528,0,45,11,2024,0,0,0
2024-11-05,2128000.0,211,687,1,45,11,2024,0,0,0
2024-11-06,2409000.0,334,798,2,45,11,2024,0,0,0
2024-11-07,1490500.0,166,498,3,45,11,2024,0,0,0
2024-11-08,1190000.0,177,375,4,45,11,2024,0,0,0
2024-11-11,1761500.0,140,556,0,46,11,2024,0,0,0
2024-11-12,1907500.0,200,593,1,46,11,2024,0,0,0
2024-11-13,2066000.0,259,643,2,46,11,2024,0,0,0
2024-11-14,1785000.0,200,542,3,46,11,2024,0,0,0
2024-11-15,1199000.0,165,365,4,46,11,2024,0,0,0
2024-11-18,1669000.0,200,534,0,47,11,2024,0,0,0
2024-11-19,2555500.0,285,797,1,47,11,2024,0,0,0
2024-11-20,2407000.0,252,733,2,47,11,2024,0,0,0
2024-11-21,1879500.0,213,557,3,47,11,2024,0,0,0
2024-11-22,1769000.0,239,517,4,47,11,2024,0,0,0
2024-11-25,1851000.0,169,550,0,48,11,2024,0,0,0
2024-11-26,1732000.0,142,529,1,48,11,2024,0,0,0
2024-11-28,1975500.0,207,635,3,48,11,2024,0,0,0
2024-11-29,997000.0,137,294,4,48,11,2024,0,0,0
2024-12-02,733000.0,87,245,0,49,12,2024,0,0,0
2024-12-03,818000.0,58,281,1,49,12,2024,0,0,0
2024-12-04,790000.0,94,252,2,49,12,2024,0,0,0
2024-12-05,937000.0,120,319,3,49,12,2024,0,0,0
2024-12-06,884000.0,59,289,4,49,12,2024,0,0,0
2024-12-09,730000.0,98,222,0,50,12,2024,0,0,0
2024-12-11,646500.0,86,214,2,50,12,2024,0,0,0
2024-12-13,303000.0,31,112,4,50,12,2024,0,0,0
2025-02-09,59000.0,4,13,6,6,2,2025,1,0,0
2025-02-10,883500.0,114,270,0,7,2,2025,0,0,0
2025-02-11,1554000.0,153,467,1,7,2,2025,0,0,0
2025-02-12,1426000.0,138,440,2,7,2,2025,0,0,0
2025-02-13,1206500.0,160,372,3,7,2,2025,0,0,0
2025-02-14,852000.0,122,271,4,7,2,2025,0,0,0
2025-02-17,1576500.0,196,514,0,8,2,2025,0,0,0
2025-02-18,1985500.0,201,632,1,8,2,2025,0,0,0
2025-02-19,2287500.0,246,761,2,8,2,2025,0,0,0
2025-02-20,1743500.0,211,568,3,8,2,2025,0,0,0
2025-02-21,1646500.0,234,548,4,8,2,2025,0,0,0
2025-02-24,1839000.0,254,613,0,9,2,2025,0,0,0
2025-02-25,1751000.0,196,566,1,9,2,2025,0,0,0
2025-02-26,2301000.0,252,736,2,9,2,2025,0,0,0
2025-02-27,1956500.0,275,639,3,9,2,2025,0,0,0
2025-02-28,1216000.0,182,395,4,9,2,2025,0,0,0
2025-03-03,86500.0,13,24,0,10,3,2025,0,0,1
2025-03-04,113000.0,20,32,1,10,3,2025,0,0,1
2025-03-05,100500.0,20,41,2,10,3,2025,0,0,1
2025-03-06,84500.0,20,31,3,10,3,2025,0,0,1
2025-03-07,38000.0,6,12,4,10,3,2025,0,0,1
2025-03-10,165500.0,24,51,0,11,3,2025,0,0,1
2025-03-11,190000.0,30,64,1,11,3,2025,0,0,1
2025-03-12,107500.0,19,40,2,11,3,2025,0,0,1
2025-03-13,44000.0,8,11,3,11,3,2025,0,0,1
2025-03-14,33000.0,9,15,4,11,3,2025,0,0,1
2025-03-17,24500.0,5,5,0,12,3,2025,0,0,1
2025-03-18,101000.0,11,31,1,12,3,2025,0,0,1
2025-03-19,130000.0,22,42,2,12,3,2025,0,0,1
2025-03-20,104000.0,11,19,3,12,3,2025,0,0,1
2025-03-21,36500.0,7,10,4,12,3,2025,0,0,1
2025-04-08,746500.0,121,207,1,15,4,2025,0,0,0
2025-04-09,698500.0,94,186,2,15,4,2025,0,0,0
2025-04-10,890500.0,141,236,3,15,4,2025,0,0,0
2025-04-11,805000.0,107,227,4,15,4,2025,0,0,0
2025-04-14,520000.0,65,147,0,16,4,2025,0,0,0
2025-04-15,580000.0,77,174,1,16,4,2025,0,0,0
2025-04-16,649000.0,93,199,2,16,4,2025,0,0,0
2025-04-17,605000.0,86,172,3,16,4,2025,0,0,0
2025-04-21,1653500.0,206,479,0,17,4,2025,0,0,0
2025-04-22,2070500.0,242,669,1,17,4,2025,0,0,0
2025-04-23,1842500.0,188,564,2,17,4,2025,0,0,0
2025-04-24,1798000.0,259,580,3,17,4,2025,0,0,0
2025-04-25,1638500.0,206,497,4,17,4,2025,0,0,0
2025-04-28,1714500.0,231,492,0,18,4,2025,0,0,0
2025-04-29,2457500.0,270,767,1,18,4,2025,0,0,0
2025-04-30,2364000.0,244,761,2,18,4,2025,0,0,0
2025-05-02,1895500.0,224,579,4,18,5,2025,0,0,0
2025-05-05,1742000.0,193,524,0,19,5,2025,0,0,0
2025-05-06,2132000.0,249,665,1,19,5,2025,0,0,0
2025-05-07,2214500.0,252,670,2,19,5,2025,0,0,0
2025-05-08,2313500.0,287,682,3,19,5,2025,0,0,0
2025-05-09,1602500.0,202,507,4,19,5,2025,0,0,0
2025-05-14,1943500.0,237,579,2,20,5,2025,0,0,0
2025-05-15,1936000.0,269,593,3,20,5,2025,0,0,0
2025-05-16,1768000.0,209,517,4,20,5,2025,0,0,0
2025-05-19,2252000.0,272,678,0,21,5,2025,0,0,0
2025-05-20,2021500.0,275,641,1,21,5,2025,0,0,0
2025-05-21,2482000.0,259,788,2,21,5,2025,0,0,0
2025-05-22,2847500.0,252,893,3,21,5,2025,0,0,0
2025-05-23,1719000.0,212,561,4,21,5,2025,0,0,0
2025-05-26,2230500.0,253,681,0,22,5,2025,0,0,0
2025-05-27,2651000.0,235,823,1,22,5,2025,0,0,0
2025-05-28,2459000.0,267,761,2,22,5,2025,0,0,0
2025-06-02,2418000.0,297,745,0,23,6,2025,0,0,0
2025-06-03,2511500.0,192,782,1,23,6,2025,0,0,0
