year,month,revenue,transactions,qty_sold,active_days,year_month
2024,8,8146500.0,923,2865,5,2024-08
2024,9,28222500.0,3157,9562,20,2024-09
2024,10,21755500.0,2823,7288,20,2024-10
2024,11,35490500.0,4044,11093,20,2024-11
2024,12,5841500.0,633,1934,8,2024-12
2025,2,24284000.0,2938,7805,16,2025-02
2025,3,1358500.0,225,428,15,2025-03
2025,4,21033500.0,2630,6357,16,2025-04
2025,5,36210000.0,4147,11142,17,2025-05
2025,6,16750500.0,1667,5191,13,2025-06
2025,7,3500.0,1,1,1,2025-07
2025,8,17068500.0,2251,5209,10,2025-08
2025,9,40921994.0,4919,12375,18,2025-09
2025,10,42182000.0,4867,12358,23,2025-10
2025,11,38036000.0,4389,11136,20,2025-11
2025,12,15118000.0,1833,4253,15,2025-12
2026,2,8904000.0,1326,2742,13,2026-02
2026,3,3410000.0,532,1092,12,2026-03
2026,4,38595000.0,5043,10991,21,2026-04
2026,5,43247000.0,4990,12072,16,2026-05
2026,6,24621500.0,3056,7168,14,2026-06
