id,invoice_id,supplier_id,product_id,quantity,price,purchased_at,created_at,updated_at,id_prod,name,category_id,category_name,id_inv,succeeded_at,total_price,total_quantity,date
70,33,15,25,4,4000,2024-08-26 08:14:38,2024-08-26 08:14:38,2024-08-26 08:14:38,25,LARIST AIR MINERAL,2,MINUMAN,33,2024-08-26 08:14:38,23500.0,7,2024-08-26
71,33,15,107,1,2500,2024-08-26 08:14:38,2024-08-26 08:14:38,2024-08-26 08:14:38,107,MOMOGI,3,SNACKS,33,2024-08-26 08:14:38,23500.0,7,2024-08-26
72,33,6,13,2,2500,2024-08-26 08:14:38,2024-08-26 08:14:38,2024-08-26 08:14:38,13,TAHU BAKSO,5,MAKANAN BASAH,33,2024-08-26 08:14:38,23500.0,7,2024-08-26
74,35,6,13,2,2500,2024-08-26 08:16:25,2024-08-26 08:16:25,2024-08-26 08:16:25,13,TAHU BAKSO,5,MAKANAN BASAH,35,2024-08-26 08:16:25,5000.0,2,2024-08-26
76,37,6,13,2,2500,2024-08-26 08:28:40,2024-08-26 08:28:40,2024-08-26 08:28:40,13,TAHU BAKSO,5,MAKANAN BASAH,37,2024-08-26 08:28:40,5000.0,2,2024-08-26
77,38,15,16,4,2500,2024-08-26 10:30:29,2024-08-26 10:30:29,2024-08-26 10:30:29,16,TAHU BAKSO BALADO,5,MAKANAN BASAH,38,2024-08-26 10:30:28,10000.0,4,2024-08-26
78,39,9,76,1,3500,2024-08-26 10:31:54,2024-08-26 10:31:54,2024-08-26 10:31:54,76,TEH GELAS,2,MINUMAN,39,2024-08-26 10:31:54,6000.0,2,2024-08-26
80,40,15,16,6,2500,2024-08-26 10:40:58,2024-08-26 10:40:58,2024-08-26 10:40:58,16,TAHU BAKSO BALADO,5,MAKANAN BASAH,40,2024-08-26 10:40:58,48000.0,21,2024-08-26
81,40,6,13,2,2500,2024-08-26 10:40:58,2024-08-26 10:40:58,2024-08-26 10:40:58,13,TAHU BAKSO,5,MAKANAN BASAH,40,2024-08-26 10:40:58,48000.0,21,2024-08-26
82,40,15,104,1,3000,2024-08-26 10:40:58,2024-08-26 10:40:58,2024-08-26 10:40:58,104,JAMUR BALADO,1,MAKANAN KERING,40,2024-08-26 10:40:58,48000.0,21,2024-08-26
83,40,13,44,2,2500,2024-08-26 10:40:58,2024-08-26 10:40:58,2024-08-26 10:40:58,44,RISOL MAYO & SOSIS,5,MAKANAN BASAH,40,2024-08-26 10:40:58,48000.0,21,2024-08-26
84,40,9,38,1,4000,2024-08-26 10:40:58,2024-08-26 10:40:58,2024-08-26 10:40:58,38,ISOPLUS,2,MINUMAN,40,2024-08-26 10:40:58,48000.0,21,2024-08-26
85,40,15,25,1,4000,2024-08-26 10:40:58,2024-08-26 10:40:58,2024-08-26 10:40:58,25,LARIST AIR MINERAL,2,MINUMAN,40,2024-08-26 10:40:58,48000.0,21,2024-08-26
86,40,9,77,1,5000,2024-08-26 10:40:58,2024-08-26 10:40:58,2024-08-26 10:40:58,77,KOPI ABC,2,MINUMAN,40,2024-08-26 10:40:58,48000.0,21,2024-08-26
88,40,9,42,2,1000,2024-08-26 10:40:58,2024-08-26 10:40:58,2024-08-26 10:40:58,42,CHEESE/BANANA ROLL,5,MAKANAN BASAH,40,2024-08-26 10:40:58,48000.0,21,2024-08-26
89,41,6,13,13,2500,2024-08-26 10:48:07,2024-08-26 10:48:07,2024-08-26 10:48:07,13,TAHU BAKSO,5,MAKANAN BASAH,41,2024-08-26 10:48:07,132000.0,46,2024-08-26
90,41,9,73,3,3000,2024-08-26 10:48:07,2024-08-26 10:48:07,2024-08-26 10:48:07,73,NASI KUCING,5,MAKANAN BASAH,41,2024-08-26 10:48:07,132000.0,46,2024-08-26
92,41,9,92,1,4000,2024-08-26 10:48:07,2024-08-26 10:48:07,2024-08-26 10:48:07,92,FRUIT TEA,2,MINUMAN,41,2024-08-26 10:48:07,132000.0,46,2024-08-26
93,41,15,16,10,2500,2024-08-26 10:48:07,2024-08-26 10:48:07,2024-08-26 10:48:07,16,TAHU BAKSO BALADO,5,MAKANAN BASAH,41,2024-08-26 10:48:07,132000.0,46,2024-08-26
94,41,15,20,1,4000,2024-08-26 10:48:07,2024-08-26 10:48:07,2024-08-26 10:48:07,20,ROTI SISIR,3,SNACKS,41,2024-08-26 10:48:07,132000.0,46,2024-08-26
97,41,9,42,1,1000,2024-08-26 10:48:07,2024-08-26 10:48:07,2024-08-26 10:48:07,42,CHEESE/BANANA ROLL,5,MAKANAN BASAH,41,2024-08-26 10:48:07,132000.0,46,2024-08-26
98,41,15,104,1,3000,2024-08-26 10:48:07,2024-08-26 10:48:07,2024-08-26 10:48:07,104,JAMUR BALADO,1,MAKANAN KERING,41,2024-08-26 10:48:07,132000.0,46,2024-08-26
100,41,13,44,1,2500,2024-08-26 10:48:07,2024-08-26 10:48:07,2024-08-26 10:48:07,44,RISOL MAYO & SOSIS,5,MAKANAN BASAH,41,2024-08-26 10:48:07,132000.0,46,2024-08-26
103,41,9,81,1,5000,2024-08-26 10:48:07,2024-08-26 10:48:07,2024-08-26 10:48:07,81,SARI KACANG IJO,2,MINUMAN,41,2024-08-26 10:48:07,132000.0,46,2024-08-26
104,41,28,119,1,3500,2024-08-26 10:48:07,2024-08-26 10:48:07,2024-08-26 10:48:07,119,FLORIDINA ORANGE,2,MINUMAN,41,2024-08-26 10:48:07,132000.0,46,2024-08-26
105,42,6,13,2,2500,2024-08-26 10:50:00,2024-08-26 10:50:00,2024-08-26 10:50:00,13,TAHU BAKSO,5,MAKANAN BASAH,42,2024-08-26 10:50:00,5000.0,2,2024-08-26
106,43,6,13,2,2500,2024-08-26 10:52:16,2024-08-26 10:52:16,2024-08-26 10:52:16,13,TAHU BAKSO,5,MAKANAN BASAH,43,2024-08-26 10:52:16,5000.0,2,2024-08-26
107,44,9,74,2,2000,2024-08-26 10:53:38,2024-08-26 10:53:38,2024-08-26 10:53:38,74,SATE USUS,5,MAKANAN BASAH,44,2024-08-26 10:53:38,9500.0,4,2024-08-26
108,44,13,44,1,2500,2024-08-26 10:53:38,2024-08-26 10:53:38,2024-08-26 10:53:38,44,RISOL MAYO & SOSIS,5,MAKANAN BASAH,44,2024-08-26 10:53:38,9500.0,4,2024-08-26
109,44,9,73,1,3000,2024-08-26 10:53:38,2024-08-26 10:53:38,2024-08-26 10:53:38,73,NASI KUCING,5,MAKANAN BASAH,44,2024-08-26 10:53:38,9500.0,4,2024-08-26
111,45,15,109,1,3000,2024-08-26 10:56:09,2024-08-26 10:56:09,2024-08-26 10:56:09,109,ARUM MANIS,1,MAKANAN KERING,45,2024-08-26 10:56:09,13000.0,2,2024-08-26
112,46,9,76,1,3500,2024-08-26 10:57:28,2024-08-26 10:57:28,2024-08-26 10:57:28,76,TEH GELAS,2,MINUMAN,46,2024-08-26 10:57:28,8500.0,2,2024-08-26
115,47,6,13,6,2500,2024-08-26 10:58:03,2024-08-26 10:58:03,2024-08-26 10:58:03,13,TAHU BAKSO,5,MAKANAN BASAH,47,2024-08-26 10:58:03,36000.0,14,2024-08-26
116,47,15,16,1,2500,2024-08-26 10:58:03,2024-08-26 10:58:03,2024-08-26 10:58:03,16,TAHU BAKSO BALADO,5,MAKANAN BASAH,47,2024-08-26 10:58:03,36000.0,14,2024-08-26
118,47,13,44,1,2500,2024-08-26 10:58:03,2024-08-26 10:58:03,2024-08-26 10:58:03,44,RISOL MAYO & SOSIS,5,MAKANAN BASAH,47,2024-08-26 10:58:03,36000.0,14,2024-08-26
119,47,9,42,3,1000,2024-08-26 10:58:03,2024-08-26 10:58:03,2024-08-26 10:58:03,42,CHEESE/BANANA ROLL,5,MAKANAN BASAH,47,2024-08-26 10:58:03,36000.0,14,2024-08-26
120,48,15,112,1,3500,2024-08-26 10:58:47,2024-08-26 10:58:47,2024-08-26 10:58:47,112,ZYLUC STICK,3,SNACKS,48,2024-08-26 10:58:47,9500.0,7,2024-08-26
121,48,9,42,6,1000,2024-08-26 10:58:47,2024-08-26 10:58:47,2024-08-26 10:58:47,42,CHEESE/BANANA ROLL,5,MAKANAN BASAH,48,2024-08-26 10:58:47,9500.0,7,2024-08-26
123,50,15,104,1,3000,2024-08-26 11:00:12,2024-08-26 11:00:12,2024-08-26 11:00:12,104,JAMUR BALADO,1,MAKANAN KERING,50,2024-08-26 11:00:12,10000.0,5,2024-08-26
124,50,9,42,3,1000,2024-08-26 11:00:12,2024-08-26 11:00:12,2024-08-26 11:00:12,42,CHEESE/BANANA ROLL,5,MAKANAN BASAH,50,2024-08-26 11:00:12,10000.0,5,2024-08-26
125,50,15,25,1,4000,2024-08-26 11:00:12,2024-08-26 11:00:12,2024-08-26 11:00:12,25,LARIST AIR MINERAL,2,MINUMAN,50,2024-08-26 11:00:12,10000.0,5,2024-08-26
126,51,15,109,1,3000,2024-08-26 11:00:38,2024-08-26 11:00:38,2024-08-26 11:00:38,109,ARUM MANIS,1,MAKANAN KERING,51,2024-08-26 11:00:38,3000.0,1,2024-08-26
127,52,6,13,2,2500,2024-08-26 11:01:59,2024-08-26 11:01:59,2024-08-26 11:01:59,13,TAHU BAKSO,5,MAKANAN BASAH,52,2024-08-26 11:01:59,5000.0,2,2024-08-26
128,53,9,42,4,1000,2024-08-26 11:07:45,2024-08-26 11:07:45,2024-08-26 11:07:45,42,CHEESE/BANANA ROLL,5,MAKANAN BASAH,53,2024-08-26 11:07:45,4000.0,4,2024-08-26
129,54,13,44,4,2500,2024-08-26 11:10:08,2024-08-26 11:10:08,2024-08-26 11:10:08,44,RISOL MAYO & SOSIS,5,MAKANAN BASAH,54,2024-08-26 11:10:08,59000.0,16,2024-08-26
132,54,6,13,1,2500,2024-08-26 11:10:08,2024-08-26 11:10:08,2024-08-26 11:10:08,13,TAHU BAKSO,5,MAKANAN BASAH,54,2024-08-26 11:10:08,59000.0,16,2024-08-26
133,54,9,87,1,6000,2024-08-26 11:10:08,2024-08-26 11:10:08,2024-08-26 11:10:08,87,ULTRA MILK UHT,2,MINUMAN,54,2024-08-26 11:10:08,59000.0,16,2024-08-26
134,54,15,16,5,2500,2024-08-26 11:10:08,2024-08-26 11:10:08,2024-08-26 11:10:08,16,TAHU BAKSO BALADO,5,MAKANAN BASAH,54,2024-08-26 11:10:08,59000.0,16,2024-08-26
136,54,15,104,1,3000,2024-08-26 11:10:08,2024-08-26 11:10:08,2024-08-26 11:10:08,104,JAMUR BALADO,1,MAKANAN KERING,54,2024-08-26 11:10:08,59000.0,16,2024-08-26
137,55,15,25,1,4000,2024-08-26 11:11:08,2024-08-26 11:11:08,2024-08-26 11:11:08,25,LARIST AIR MINERAL,2,MINUMAN,55,2024-08-26 11:11:08,7000.0,2,2024-08-26
138,55,15,104,1,3000,2024-08-26 11:11:08,2024-08-26 11:11:08,2024-08-26 11:11:08,104,JAMUR BALADO,1,MAKANAN KERING,55,2024-08-26 11:11:08,7000.0,2,2024-08-26
139,56,9,74,1,2000,2024-08-26 11:11:45,2024-08-26 11:11:45,2024-08-26 11:11:45,74,SATE USUS,5,MAKANAN BASAH,56,2024-08-26 11:11:45,7500.0,3,2024-08-26
140,56,6,13,1,2500,2024-08-26 11:11:45,2024-08-26 11:11:45,2024-08-26 11:11:45,13,TAHU BAKSO,5,MAKANAN BASAH,56,2024-08-26 11:11:45,7500.0,3,2024-08-26
141,56,9,73,1,3000,2024-08-26 11:11:45,2024-08-26 11:11:45,2024-08-26 11:11:45,73,NASI KUCING,5,MAKANAN BASAH,56,2024-08-26 11:11:45,7500.0,3,2024-08-26
148,59,15,25,1,4000,2024-08-26 11:13:58,2024-08-26 11:13:58,2024-08-26 11:13:58,25,LARIST AIR MINERAL,2,MINUMAN,59,2024-08-26 11:13:58,11000.0,3,2024-08-26
151,61,6,13,2,2500,2024-08-26 11:14:49,2024-08-26 11:14:49,2024-08-26 11:14:49,13,TAHU BAKSO,5,MAKANAN BASAH,61,2024-08-26 11:14:49,10000.0,3,2024-08-26
153,62,15,25,1,4000,2024-08-26 11:19:37,2024-08-26 11:19:37,2024-08-26 11:19:37,25,LARIST AIR MINERAL,2,MINUMAN,62,2024-08-26 11:19:37,4000.0,1,2024-08-26
155,63,13,44,4,2500,2024-08-26 11:23:27,2024-08-26 11:23:27,2024-08-26 11:23:27,44,RISOL MAYO & SOSIS,5,MAKANAN BASAH,63,2024-08-26 11:23:27,65000.0,24,2024-08-26
156,63,9,73,2,3000,2024-08-26 11:23:27,2024-08-26 11:23:27,2024-08-26 11:23:27,73,NASI KUCING,5,MAKANAN BASAH,63,2024-08-26 11:23:27,65000.0,24,2024-08-26
157,63,28,119,2,3500,2024-08-26 11:23:27,2024-08-26 11:23:27,2024-08-26 11:23:27,119,FLORIDINA ORANGE,2,MINUMAN,63,2024-08-26 11:23:27,65000.0,24,2024-08-26
158,63,15,16,7,2500,2024-08-26 11:23:27,2024-08-26 11:23:27,2024-08-26 11:23:27,16,TAHU BAKSO BALADO,5,MAKANAN BASAH,63,2024-08-26 11:23:27,65000.0,24,2024-08-26
159,63,6,13,5,2500,2024-08-26 11:23:27,2024-08-26 11:23:27,2024-08-26 11:23:27,13,TAHU BAKSO,5,MAKANAN BASAH,63,2024-08-26 11:23:27,65000.0,24,2024-08-26
