model,horizon,mae,rmse,mape,smape,n_samples
lstm_finetuned,H+1,1112836.4783653845,1112836.4783653845,161.94534197283156,96.68249757876218,13
lstm_finetuned,H+3,1095751.3068910255,1145851.6253163891,228.1237568510748,102.043041600025,13
lstm_finetuned,H+7,1152486.8929215316,1238984.084182261,242.33279826302493,114.50115618575347,13
lstm_global,H+1,1112836.4783653845,1112836.4783653845,161.94534197283156,96.68249757876218,13
lstm_global,H+3,1095751.3068910255,1145851.6253163891,228.1237568510748,102.043041600025,13
lstm_global,H+7,1152486.8929215316,1238984.084182261,242.33279826302493,114.50115618575347,13
moving_average_7,H+1,473906.5934065934,473906.5934065934,78.55682932688256,45.711090348131805,13
moving_average_7,H+3,639278.3882783883,693123.8277138914,155.41195241107113,58.46368573697263,13
moving_average_7,H+7,668574.5682888541,763532.9538337397,160.62991335252238,65.58509024150315,13
naive,H+1,278807.6923076923,278807.6923076923,17.754480711634827,17.017653427228574,13
naive,H+3,382820.5128205129,423721.82446973486,57.34261014745509,32.12512080954924,13
naive,H+7,507329.67032967036,599599.8093583473,120.033433653847,44.475610004506805,13
seasonal_naive,H+1,729730.7692307692,729730.7692307692,179.02071285576815,58.455030496038795,13
seasonal_naive,H+3,825320.5128205128,886224.1444927031,243.19832235936352,70.65884006185706,13
seasonal_naive,H+7,776989.010989011,912423.7585385331,185.44233365918268,68.61449959562344,13
